Track,TestCase,Matcher,Label Left,Comment Left,Type Left,URI Left,Relation,Confidence (Matcher),URI Right,Label Right,Comment Right,Type Right,Residual True Positive,Evaluation Result
PunjabiTrack,testcase409,C:\Files\TestingdatasettoOAEIformattesting\MatchingSystems\logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""Tutoriel""]",[],"[""owl:Class""]",http://conference_fr#c-6047820-7133217,=,0.0,http://iasted_cn#c-1878670-5346699,"[""教程""]",[],"[""owl:Class""]",true,false negative
PunjabiTrack,testcase409,C:\Files\TestingdatasettoOAEIformattesting\MatchingSystems\logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""Contribution soumise""]",[],"[""owl:Class""]",http://conference_fr#c-9316260-0696558,=,0.0,http://iasted_cn#c-7785971-0195130,"[""投稿""]",[],"[""owl:Class""]",true,false negative
PunjabiTrack,testcase409,C:\Files\TestingdatasettoOAEIformattesting\MatchingSystems\logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""Frais d'inscription""]",[],"[""owl:Class""]",http://conference_fr#c-5294583-2924349,=,0.0,http://iasted_cn#c-9007157-9246362,"[""费用""]",[],"[""owl:Class""]",true,false negative
PunjabiTrack,testcase409,C:\Files\TestingdatasettoOAEIformattesting\MatchingSystems\logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""Participant actif de conférence""]",[],"[""owl:Class""]",http://conference_fr#c-6786365-7588161,=,0.0,http://iasted_cn#c-6456220-8358576,"[""报告人""]",[],"[""owl:Class""]",true,false negative
PunjabiTrack,testcase409,C:\Files\TestingdatasettoOAEIformattesting\MatchingSystems\logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""Rapport d'examen""]",[],"[""owl:Class""]",http://conference_fr#c-3916069-3610053,=,0.0,http://iasted_cn#c-3460567-5404427,"[""审稿意见""]",[],"[""owl:Class""]",true,false negative
PunjabiTrack,testcase409,C:\Files\TestingdatasettoOAEIformattesting\MatchingSystems\logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""Actes de conférence""]",[],"[""owl:Class""]",http://conference_fr#c-6492740-3728346,=,0.0,http://iasted_cn#c-8666190-0976130,"[""出版物""]",[],"[""owl:Class""]",true,false negative
PunjabiTrack,testcase409,C:\Files\TestingdatasettoOAEIformattesting\MatchingSystems\logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""Document de conférence""]",[],"[""owl:Class""]",http://conference_fr#c-1108433-7666814,=,0.0,http://iasted_cn#c-1318963-5469670,"[""文件""]",[],"[""owl:Class""]",true,false negative
PunjabiTrack,testcase409,C:\Files\TestingdatasettoOAEIformattesting\MatchingSystems\logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""Personne""]",[],"[""owl:Class""]",http://conference_fr#c-3342042-5675432,=,0.0,http://iasted_cn#c-9161886-5839067,"[""人员""]",[],"[""owl:Class""]",true,false negative
PunjabiTrack,testcase409,C:\Files\TestingdatasettoOAEIformattesting\MatchingSystems\logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""Auteur ordinaire""]",[],"[""owl:Class""]",http://conference_fr#c-3535216-5991853,=,0.0,http://iasted_cn#c-1807061-2673619,"[""作者""]",[],"[""owl:Class""]",true,false negative
PunjabiTrack,testcase409,C:\Files\TestingdatasettoOAEIformattesting\MatchingSystems\logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""contribue""]",[],"[""owl:ObjectProperty""]",http://conference_fr#op-5698544-0484525,=,0.0,http://iasted_cn#op-5205893-0739508,"[""写""]",[],"[""owl:ObjectProperty""]",true,false negative
PunjabiTrack,testcase409,C:\Files\TestingdatasettoOAEIformattesting\MatchingSystems\logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""Relecteur""]",[],"[""owl:Class""]",http://conference_fr#c-0156519-8027517,=,0.0,http://iasted_cn#c-0793941-8502280,"[""审稿人""]",[],"[""owl:Class""]",true,false negative
PunjabiTrack,testcase409,C:\Files\TestingdatasettoOAEIformattesting\MatchingSystems\logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""Participant passif de conférence""]",[],"[""owl:Class""]",http://conference_fr#c-2084218-8560350,=,0.0,http://iasted_cn#c-0735265-4949070,"[""旁听者""]",[],"[""owl:Class""]",true,false negative
